,utime,vtime
0,36353,41007
1,6,40433
2,40462,43164
3,46451,47421
4,4,38796
5,31077,31132
6,43348,43941
7,41270,41364
8,41927,45861
9,40534,43531
10,41960,44654
11,44713,45906
12,41938,45297
13,38852,45985
14,35338,43892
15,34505,38788
16,42187,45291
17,29775,34475
18,41927,45554
19,4,37381
20,37381,37381
21,34791,39621
22,33662,35000
23,25998,30534
24,23249,30842
25,32343,38103
26,39809,40460
27,43655,44795
28,30366,34004
29,41556,43223
30,44306,46851
31,30409,34147
32,34597,35773
33,45424,45917
34,45522,45572
35,44905,46613
36,32541,40011
37,5,27785
38,10323,35642
39,8,34670
40,36294,38154
41,36087,41139
42,36994,39084
43,34678,34924
44,41789,46960
45,38809,40567
46,40567,40567
47,4,47234
48,1894,25206
49,44068,44089
50,36558,41904
51,44961,46799
52,5,22202
53,51,16996
54,22333,25356
55,25491,26999
56,27950,29546
57,35663,37452
58,41722,42696
59,42714,43873
60,43936,44152
61,9,32484
62,4,29501
63,38521,42777
64,36479,37042
65,36230,37189
66,1,43233
67,24523,26905
68,38651,39163
69,11,29432
70,40675,40754
71,41645,46424
72,7,26873
73,9,29099
74,46717,47967
75,29445,43965
76,27967,32875
77,29344,36827
78,32430,33019
79,37931,44854
80,39728,43643
81,34447,47607
82,47874,47964
83,39022,40836
84,39754,40261
85,29267,36238
86,35687,39426
87,22561,28542
88,33241,40262
89,46817,46857
90,47079,47196
91,34843,35531
92,35628,35987
93,28880,32931
94,30788,37387
95,43439,46437
96,39349,40875
97,41718,43778
98,43759,44301
99,41807,43655
100,40847,42212
101,41436,41544
102,22213,38049
103,34727,35463
104,38704,39973
105,40058,40830
106,19731,20246
107,22124,23515
108,23694,24349
109,24936,26993
110,27379,28131
111,29136,32620
112,33140,33268
113,33930,34195
114,35204,35726
115,36433,36895
116,37525,37726
117,38007,38822
118,39976,40306
119,42915,42915
120,42915,42915
121,42915,42915
122,42915,42915
123,42915,42915
124,42915,43078
125,43723,44449
126,45181,45814
127,46474,47509
128,24361,24808
129,25719,26170
130,26483,28361
131,29003,30417
132,30673,31444
133,31845,33316
134,33908,34285
135,38080,39182
136,40317,42427
137,44466,45018
138,45685,46352
139,47551,47943
140,27152,30852
141,31104,31758
142,33263,34013
143,34365,34624
144,39541,39932
145,40226,40797
146,41030,41751
147,41886,42618
148,42691,43081
149,43401,43715
150,46853,47515
151,3,2285
152,2944,3242
153,3376,3896
154,4528,5225
155,5961,6635
156,9166,24148
157,24672,27342
158,27786,29067
159,29291,32161
160,32344,33502
161,33957,34243
162,35791,36705
163,36742,38391
164,38452,40242
165,40339,40906
166,41185,42862
167,42949,43947
168,44464,45651
169,45692,46778
170,46938,47316
171,27431,27449
172,27587,32842
173,36430,37004
174,43731,44609
175,45707,46319
176,47113,47383
177,45,1164
178,1337,2042
179,2778,4730
180,22012,22946
181,23156,23851
182,24316,24682
183,24992,34160
184,34747,37173
185,37592,37935
186,38697,39989
187,20116,21157
188,21807,23286
189,24715,25549
190,26050,27570
191,27638,28700
192,28942,31545
193,32163,35391
194,35478,36939
195,37165,38116
196,40649,40949
197,41158,41757
198,42277,43013
199,43996,45151
200,45279,45883
201,46106,46844
202,645,2951
203,4904,5799
204,6210,6799
205,22300,23085
206,23326,23553
207,24096,25107
208,25480,26067
209,26402,26905
210,27037,27606
211,28224,28774
212,29926,32229
213,32470,33410
214,33579,34433
215,34995,35868
216,35933,37812
217,38164,38775
218,39192,40877
219,41498,43123
220,43177,44196
221,44792,45326
222,46066,47161
223,47267,47414
224,30724,32995
225,34799,40663
226,42257,42257
227,42261,43142
228,22854,23033
229,24213,25386
230,25550,26747
231,27832,29494
232,29655,30746
233,31078,32345
234,32447,33752
235,35165,35473
236,37757,38524
237,39280,39857
238,39940,40898
239,42909,43372
240,43492,44008
241,44333,45943
242,46951,47493
243,4,2177
244,3022,3504
245,3578,4030
246,4086,4698
247,6803,7211
248,7693,8108
249,8187,10242
250,19283,19993
251,20331,35968
252,36506,37470
253,41410,41410
254,41410,44858
255,45801,46090
256,23249,34940
257,35303,36468
258,38975,40189
259,31523,34754
260,36290,36536
261,36769,37559
262,38979,41022
263,42328,42808
264,29572,35232
265,17528,17787
266,18731,19623
267,20525,20890
268,21987,24466
269,26504,29303
270,29412,31300
271,31400,32635
272,32707,33473
273,35620,35956
274,38305,38763
275,39016,39414
276,39728,40030
277,40194,42158
278,43252,45881
279,7,1732
280,2091,2689
281,2745,2891
282,4393,26919
283,28229,29786
284,31329,34511
285,35442,36075
286,36724,37465
287,39068,39398
288,39892,40992
289,42070,42632
290,42912,43404
291,43753,44145
292,44191,44825
293,46251,46383
294,46530,47246
295,20491,21367
296,24685,25858
297,27444,28550
298,30090,34883
299,36166,36804
300,39221,39221
301,39232,39451
302,39658,40049
303,40278,41188
304,41289,41887
305,42640,43314
306,43937,44788
307,45202,46062
308,46152,46362
309,46458,46865
310,25006,26892
311,30689,31614
312,31969,32575
313,32631,33059
314,33839,34058
315,34442,35439
316,36076,39448
317,43999,45079
318,46333,46747
319,3,26120
320,26662,31420
321,33552,35776
322,36973,39407
323,40246,42321
324,44647,44753
325,46034,47417
326,108,757
327,1592,3078
328,3447,4032
